Datetime,Water Level (m)
2024-02-09 00:00:00,-1.0982505
2024-02-09 01:00:00,-1.4462461
2024-02-09 02:00:00,-1.6910957
2024-02-09 03:00:00,-1.8974621
2024-02-09 04:00:00,-1.5021359
2024-02-09 05:00:00,-0.5042424
2024-02-09 06:00:00,0.5084155
2024-02-09 07:00:00,1.4741833
2024-02-09 08:00:00,1.3967239
2024-02-09 09:00:00,0.88752276
2024-02-09 10:00:00,0.15522274
2024-02-09 11:00:00,-0.54074216
2024-02-09 12:00:00,-1.1726301
2024-02-09 13:00:00,-1.5244082
2024-02-09 14:00:00,-1.7790478
2024-02-09 15:00:00,-1.9845976
2024-02-09 16:00:00,-1.4188976
2024-02-09 17:00:00,-0.19373627
2024-02-09 18:00:00,1.0549132
2024-02-09 19:00:00,2.087396
2024-02-09 20:00:00,2.0240238
2024-02-09 21:00:00,1.5718801
2024-02-09 22:00:00,0.6990422
2024-02-09 23:00:00,-0.11212463
2024-02-10 00:00:00,-0.76817584
2024-02-10 01:00:00,-1.2656224
2024-02-10 02:00:00,-1.5450041
2024-02-10 03:00:00,-1.7825142
2024-02-10 04:00:00,-1.974527
2024-02-10 05:00:00,-1.1499242
2024-02-10 06:00:00,0.045721557
2024-02-10 07:00:00,1.2890692
2024-02-10 08:00:00,1.8307692
2024-02-10 09:00:00,1.4796249
2024-02-10 10:00:00,0.81105787
2024-02-10 11:00:00,0.008956478
2024-02-10 12:00:00,-0.67605525
2024-02-10 13:00:00,-1.2544147
2024-02-10 14:00:00,-1.5418997
2024-02-10 15:00:00,-1.793981
2024-02-10 16:00:00,-1.9732358
2024-02-10 17:00:00,-1.0671366
2024-02-10 18:00:00,0.26583463
2024-02-10 19:00:00,1.7500683
2024-02-10 20:00:00,2.3536458
2024-02-10 21:00:00,2.1411636
2024-02-10 22:00:00,1.4742442
2024-02-10 23:00:00,0.50935555
2024-02-11 00:00:00,-0.2660782
2024-02-11 01:00:00,-0.890972
2024-02-11 02:00:00,-1.3057175
2024-02-11 03:00:00,-1.5731127
2024-02-11 04:00:00,-1.8081859
2024-02-11 05:00:00,-1.8769026
2024-02-11 06:00:00,-0.6497076
2024-02-11 07:00:00,0.6213838
2024-02-11 08:00:00,1.884016
2024-02-11 09:00:00,1.9459519
2024-02-11 10:00:00,1.5032427
2024-02-11 11:00:00,0.6829716
2024-02-11 12:00:00,-0.12228369
2024-02-11 13:00:00,-0.7888052
2024-02-11 14:00:00,-1.2907296
2024-02-11 15:00:00,-1.5548728
2024-02-11 16:00:00,-1.7952754
2024-02-11 17:00:00,-1.8952954
2024-02-11 18:00:00,-0.64940035
2024-02-11 19:00:00,0.7158492
2024-02-11 20:00:00,2.1774116
2024-02-11 21:00:00,2.392961
2024-02-11 22:00:00,2.051569
2024-02-11 23:00:00,1.1806191
2024-02-12 00:00:00,0.26495287
2024-02-12 01:00:00,-0.4552887
2024-02-12 02:00:00,-1.0405109
2024-02-12 03:00:00,-1.3871404
2024-02-12 04:00:00,-1.6348552
2024-02-12 05:00:00,-1.8508439
2024-02-12 06:00:00,-1.2691736
2024-02-12 07:00:00,-0.06575431
2024-02-12 08:00:00,1.2618757
2024-02-12 09:00:00,2.0948591
2024-02-12 10:00:00,1.9256303
2024-02-12 11:00:00,1.3472226
2024-02-12 12:00:00,0.45498002
2024-02-12 13:00:00,-0.2996791
2024-02-12 14:00:00,-0.9386658
2024-02-12 15:00:00,-1.3396397
2024-02-12 16:00:00,-1.6027576
2024-02-12 17:00:00,-1.8283275
2024-02-12 18:00:00,-1.4858501
2024-02-12 19:00:00,-0.21297292
2024-02-12 20:00:00,1.1918324
2024-02-12 21:00:00,2.2896538
2024-02-12 22:00:00,2.2442515
2024-02-12 23:00:00,1.7296365
2024-02-13 00:00:00,0.79767174
2024-02-13 01:00:00,-0.045384362
2024-02-13 02:00:00,-0.71028465
2024-02-13 03:00:00,-1.214072
2024-02-13 04:00:00,-1.4851997
2024-02-13 05:00:00,-1.725198
2024-02-13 06:00:00,-1.903877
2024-02-13 07:00:00,-0.9257828
2024-02-13 08:00:00,0.30296272
2024-02-13 09:00:00,1.6517497
2024-02-13 10:00:00,2.0873375
2024-02-13 11:00:00,1.8164624
2024-02-13 12:00:00,1.1028345
2024-02-13 13:00:00,0.24102122
2024-02-13 14:00:00,-0.4599182
2024-02-13 15:00:00,-1.0355942
2024-02-13 16:00:00,-1.3758042
2024-02-13 17:00:00,-1.6171894
2024-02-13 18:00:00,-1.8210528
2024-02-13 19:00:00,-1.1057189
2024-02-13 20:00:00,0.1554698
2024-02-13 21:00:00,1.5090646
2024-02-13 22:00:00,2.1362302
2024-02-13 23:00:00,1.9205551
2024-02-14 00:00:00,1.2967991
2024-02-14 01:00:00,0.40931812
2024-02-14 02:00:00,-0.3415878
2024-02-14 03:00:00,-0.9424027
2024-02-14 04:00:00,-1.3258573
2024-02-14 05:00:00,-1.5850542
2024-02-14 06:00:00,-1.808975
2024-02-14 07:00:00,-1.687781
2024-02-14 08:00:00,-0.54111755
2024-02-14 09:00:00,0.6586237
2024-02-14 10:00:00,1.8371737
2024-02-14 11:00:00,1.9288493
2024-02-14 12:00:00,1.5951257
2024-02-14 13:00:00,0.8365507
2024-02-14 14:00:00,0.052215874
2024-02-14 15:00:00,-0.5943299
2024-02-14 16:00:00,-1.1229306
2024-02-14 17:00:00,-1.4205021
2024-02-14 18:00:00,-1.6489981
2024-02-14 19:00:00,-1.7769448
2024-02-14 20:00:00,-0.78166026
2024-02-14 21:00:00,0.34691527
2024-02-14 22:00:00,1.538695
2024-02-14 23:00:00,1.8234444
2024-02-15 00:00:00,1.5297489
